Source,Target,Type,Id,Label,timeset,Weight
casaouia,WhiteCat_7,Undirected,460,,,1
ro34th,Adamhasak43,Undirected,461,,,7
c0n0fj1had4_,AbuZubayrZ,Undirected,462,,,1
Shy_Villain,IbnKashmir_,Undirected,463,,,1
raqqa_sl,_IshfaqAhmad,Undirected,464,,,1
Uncle_SamCoco,StickGetsItDone,Undirected,465,,,2
RT_com,MaghrabiArabi,Undirected,466,,,5
YazeedDhardaa25,IsabatuBaghdadi,Undirected,467,,,1
warrnews,CJTFOIR,Undirected,468,,,1
vsevolod_tk,mobi_ayubi,Undirected,469,,,1
Slamiste68,QassamiMarwan,Undirected,470,,,1
NaseemAhmed50,8ALezAllELLAH51,Undirected,471,,,1
hamstero_el,Uncle_SamCoco,Undirected,472,,,1
warrnews,po_,Undirected,473,,,1
whoisrum,Witness_alHaqq,Undirected,474,,,1
fafadelaforet,MaghrabiArabi,Undirected,475,,,1
Uncle_SamCoco,Abduhark,Undirected,476,,,1
Uncle_SamCoco,MiddleEastEye,Undirected,477,,,8
Uncle_SamCoco,CivilWarMap,Undirected,478,,,1
warreporter2,Abduhark,Undirected,479,,,2
Support,QassamiMarwan,Undirected,480,,,2
markito0171,WarReporter1,Undirected,481,,,2
WarReporter1,RamiAlLolah,Undirected,482,,,32
thefIamesofhaqq,Veritas__Media,Undirected,483,,,2
TerrorWatchG,JohnsonsBot,Undirected,484,,,2
aisha30account,abuayisha108,Undirected,485,,,1
darulhijrateyni,DeirEzzor24,Undirected,486,,,1
p_vanostaeyen,Abu_Azzzam25,Undirected,487,,,1
the_intercept,MaghrebiQM,Undirected,488,,,1
abuayisha108,Yy9Jz9,Undirected,489,,,1
Uncle_SamCoco,Abuhhhh143,Undirected,490,,,1
QassamiMarwan,Abduhark,Undirected,491,,,2
markito0171,AsimAbuMerjem,Undirected,492,,,3
yy3777,___KU217_y,Undirected,493,,,1
trenchstrategy2,dieinurage29__7,Undirected,494,,,1
pieternanninga,AsimAbuMerjem,Undirected,495,,,1
vankaas,MaghrabiArabi,Undirected,496,,,1
mobi_ayubi,ladh,Undirected,497,,,1
st3erer,markito0171,Undirected,498,,,1
sparksofirhabi3,alamreeki4,Undirected,499,,,1
xaaajiga,CXaafada2,Undirected,500,,,1
ro34th,SyrCoalition,Undirected,501,,,1
YazeedDhardaa25,Abtigood,Undirected,502,,,2
warrnews,West_YPG,Undirected,503,,,1
wayf44rerr,IzberbashMEDIA,Undirected,504,,,1
skxxx50,YazeedDhardaa25,Undirected,505,,,1
